location,industrial,logistics,auto,retail,grocery,office,education,health,restaurants,public sector,entertainment,hotel,others,Employee/Residential Population Ratio (per 100 Residents),Latitude,Longitude,Walkscore,distance_to_park,distance_to_transit_station,distance_to_bike_station
"Boston Museum Of Fine Arts, Boston",880,551,45,969,425,4368,7292,68704,3077,3427,4056,732,3373,58,42.3379182,-71.0950201,99,0.3 km,72 m,72 m
"Boston Newton Centre, Boston",127,143,14,196,189,1326,369,637,372,220,54,37,716,22,42.3429139,-71.19340063,99,0.7 km,0.2 km,0.1 km
"Boston Newton Highlands, Boston",279,137,46,240,152,1285,221,573,186,133,37,7,553,66,42.2996341,-71.20418095,99,0.7 km,0.4 km,12 m
"Boston North Quincy, Boston",131,55,14,87,209,712,259,255,412,28,42,53,198,12,42.383157,-71.0677775,99,0.2 km,0.2 km,0.1 km
"Boston Nubian, Boston",1659,1057,114,352,210,1887,2225,6418,877,4887,178,98,1713,29,42.3290977,-71.0850876,99,70 m,63 m,6 m
"Boston Revere Beach, Boston",163,120,101,98,29,329,103,373,262,62,121,5,178,94,42.364615,-71.032643,99,0.3 km,0.2 km,0.3 km
"Boston Shawmut, Boston",520,580,112,1182,132,1064,871,1241,593,685,82,0,1029,39,42.2745068,-71.0593045,99,1.0 km,0.4 km,0.8 km
"Boston Sullivan Square, Boston",924,863,83,524,485,4848,943,755,543,208,184,154,1262,23,42.3842954,-71.0769775,99,0.2 km,90 m,90 m
"Boston Summit Avenue, Boston",283,281,320,2292,683,3148,1150,2218,1221,1031,304,138,1317,565,40.985164,-81.541311,99,2.0 km,,0.1 km
"Boston Sutherland Road, Boston",222,212,34,207,334,1271,807,2945,677,135,84,128,691,37,42.341582,-71.1462998,99,0.2 km,1 m,1 m
"Boston Tufts Medical Center, Boston",6089,12258,127,3741,693,124292,3819,18678,10048,11799,3620,4854,13787,57,42.3496554,-71.0638505,99,0.4 km,1 m,1 m
"Boston Warren Street, Boston",754,503,583,499,503,3223,995,3362,1691,187,214,68,1339,140,42.3486367,-71.1402269,99,0.2 km,40 m,40 m
"Boston Wellington, Boston",102,109,4,15,13,439,38,132,302,1,4,40,269,132,-41.2960662,174.768385,99,0.1 km,62 m,12 m
"Boston West Newton Street, Boston",3238,919,92,1888,683,18689,7740,9993,3936,3386,814,2214,3928,124,42.339937,-71.074903,99,0.2 km,0.2 km,24 m
"Boston West Newton Street, Boston",3125,905,92,1867,674,17001,7728,9955,3746,3380,775,1767,3421,110,42.339937,-71.074903,99,0.2 km,0.2 km,24 m
"Boston Worcester Street, Boston",3331,958,102,1850,599,13346,8267,9943,3702,4256,956,1471,3480,19,42.090628,-71.638349,99,0.6 km,1.4 km,1.3 km
"Boston Worcester Street, Boston",3131,1119,127,1229,305,6999,8336,9715,2664,5092,746,895,3217,22,42.090628,-71.638349,99,0.6 km,1.4 km,1.3 km
"Boston Worcester Street, Boston",3131,1119,127,1229,305,6999,8336,9715,2664,5092,746,895,3217,179,42.090628,-71.638349,99,0.6 km,1.4 km,1.3 km
" 47th-South Elevated, Chicago",130,82,9,89,78,423,530,1300,244,64,54,9,598,25,41.8654712,-87.7423005,99,0.7 km,60 m,22 m
" 79th, Chicago",116,645,40,279,107,279,204,164,378,11,5,2,310,26,41.7525316,-87.5530981,99,0.7 km,9 m,9 m
" Ashland-Lake, Chicago",3016,1528,146,826,175,6649,1439,8238,3173,338,3001,194,2078,23,41.8859293,-87.6671516,99,0.2 km,78 m,1 m
" Austin-Congress, Chicago",314,371,68,165,34,410,546,553,256,533,145,0,315,20,41.874163,-87.7400706,99,0.5 km,0.2 km,0.1 km
" Austin-Lake, Chicago",226,69,60,85,101,653,724,2007,155,803,257,0,541,40,41.8879694,-87.7731704,99,42 m,71 m,22 m
" Belmont-O'Hare, Chicago",737,368,344,685,502,1289,905,504,996,11,75,6,610,34,41.667447,-87.59274059,99,1.5 km,9.9 km,0.3 km
" DamenMilwaukee, Chicago",1050,348,270,2169,357,2931,1104,2546,2209,12,405,117,1336,41,41.8755616,-87.6244212,99,88 m,44 m,10 m
" Damen-Ravenswood, Chicago",900,388,91,499,311,1700,1106,1852,1342,136,329,49,1094,121,41.9663859,-87.6788409,99,0.5 km,0.2 km,0.2 km
" Diversey, Chicago",534,381,150,1650,470,3785,563,8137,2940,72,849,154,1368,17,41.9320399,-87.7073181,99,0.4 km,1 m,1 m
" Foster, Chicago",866,380,20,578,280,5671,7264,3282,1492,1373,536,368,2695,37,41.9760593,-87.6721953,99,0.7 km,3 m,3 m
" Francisco, Chicago",226,93,108,169,142,845,371,1655,540,1,170,3,632,377,37.7095407,-122.4328074,99,1.0 km,27 m,27 m
" Fullerton, Chicago",703,235,198,1379,487,4518,1157,2049,2631,39,886,50,1411,19,41.9245715,-87.6925126,99,0.3 km,30 m,0.1 km
" GrandState, Chicago",15570,5106,381,9064,2077,139134,7376,26188,18633,13786,4580,15106,21622,23,41.8755616,-87.6244212,99,88 m,44 m,10 m
" Granville, Chicago",232,135,79,489,366,1320,1879,892,924,25,263,29,832,39,41.993749,-87.659213,99,0.4 km,0.4 km,3 m
" Halsted-Midway, Chicago",531,411,142,179,91,603,477,228,449,73,119,0,521,84,41.8477626,-87.6464885,99,0.1 km,0.2 km,0.1 km
" Harlem-Congress, Chicago",365,173,226,179,165,765,392,1123,431,125,226,4,489,764,41.8940426,-87.8051385,99,0.6 km,1 m,1 m
" Cottage Grove, Chicago",58,249,19,84,393,551,5216,8271,210,273,107,22,569,28,41.832384,-87.6110717,99,0.1 km,7 m,7 m
" ClarkLake, Chicago",29320,16845,417,12301,2681,253223,9416,15392,16666,25751,5927,11360,26610,68,41.8755616,-87.6244212,99,88 m,44 m,10 m
" Cicero-Douglas, Chicago",800,222,157,545,161,369,1129,187,508,600,170,7,233,58,41.29879235,-96.22820603,99,2.7 km,,12 m
" ChicagoMilwaukee, Chicago",1867,1003,634,656,103,6322,825,771,1965,72,506,108,1660,16,41.8755616,-87.6244212,99,88 m,44 m,10 m
" Cermak-McCormick Place, Chicago",644,773,171,208,185,4007,783,3002,1814,1277,876,574,1163,57,41.8527022,-87.6263803,99,0.3 km,1 m,1 m
" Central-Lake, Chicago",119,83,36,104,78,376,557,1834,167,157,41,0,480,32,41.62095925,-87.46915479,99,1.1 km,1.0 km,4 m
" Bryn Mawr, Chicago",332,289,125,517,887,1624,684,1511,1398,40,235,20,888,587,41.766146,-87.5776229,99,0.2 km,31 m,15 m
" Harlem-Lake, Chicago",515,390,118,646,657,2708,607,2919,1341,320,382,55,1051,16,41.7864595,-87.8011458,99,0.5 km,5 m,5 m
" Harlem-O'Hare, Chicago",88,38,45,110,312,1245,399,518,305,11,27,0,175,21,41.667447,-87.59274059,99,1.5 km,9.9 km,0.3 km
" Harrison, Chicago",12124,12581,94,3929,916,116260,6853,7256,5451,14026,3857,4083,10817,35,41.8742404,-87.6247913,99,0.2 km,89 m,
" Howard, Chicago",84,120,80,162,250,629,403,1551,305,11,223,7,506,16,42.0194858,-87.6761704,99,0.4 km,1 m,1 m
" Irving Park-O'Hare, Chicago",616,335,291,275,56,859,293,531,516,18,32,0,652,22,41.9523515,-87.8365145,99,5.8 km,41 m,58 m
" Irving Park-Ravenswood, Chicago",897,376,91,352,338,3534,1058,1088,917,39,236,43,1139,19,41.9533212,-87.731455,99,0.9 km,0.1 km,0.1 km
" Jarvis, Chicago",96,147,92,184,298,793,686,1572,404,16,277,21,601,12,42.312188,-87.834142,99,0.5 km,1.1 km,25 m
" Jefferson Park, Chicago",395,290,33,111,142,962,288,205,429,412,46,8,248,926,41.9717361,-87.76348787,99,0.6 km,1 m,1 m
" Kedzie-Douglas, Chicago",374,178,128,149,139,332,1186,1364,220,499,53,0,457,16,41.8623875,-87.7054293,99,0.5 km,34 m,34 m
" Kedzie-Ravenswood, Chicago",241,140,113,225,144,847,932,767,448,3,151,2,580,16,41.9660603,-87.7095588,99,0.7 km,50 m,0.2 km
" LaSalle, Chicago",22697,16317,101,13440,845,170741,8737,9719,7185,22620,4379,4896,15581,53,41.3307373,-89.1071041,99,0.8 km,,92 m
" Logan Square, Chicago",327,147,100,476,192,941,431,942,1286,65,178,5,528,29,41.9283727,-87.7067636,99,11 m,69 m,11 m
" Morse, Chicago",145,790,80,259,131,771,1041,964,671,57,161,48,624,206,42.0078658,-87.6638352,99,0.3 km,5 m,5 m
" Oak Park-Lake, Chicago",530,356,99,482,474,2370,888,1486,997,455,418,53,941,43,40.7781966,-111.918275,99,0.5 km,0.2 km,38 m
" Paulina, Chicago",546,167,105,970,696,3107,579,1319,1385,20,373,22,1102,71,41.8959596,-87.6693308,99,0.5 km,4 m,4 m
" Racine, Chicago",3310,2297,99,707,197,6965,13698,16162,2627,1489,2393,348,2881,47,42.7274578,-87.8098037,99,0.5 km,0.5 km,0.2 km
" Ridgeland, Chicago",357,70,85,109,205,1273,1016,1773,437,673,315,1,652,27,41.7032948,-87.7805909,99,76 m,72 m,9 m
" RooseveltWabash, Chicago",1098,1558,74,1403,604,12020,2901,1534,1830,1484,1231,1904,2270,31,41.8755616,-87.6244212,99,88 m,44 m,10 m
" Sedgwick, Chicago",1277,1713,146,1440,656,6220,1104,1100,1684,213,1398,562,1797,267,37.779127,-97.536903,99,0.3 km,,41 m
" Sheridan, Chicago",264,219,100,542,423,1887,2680,1366,1777,347,719,234,1084,952,42.3198854,-87.8425876,99,0.9 km,0.1 km,0.1 km
" Southport, Chicago",447,292,95,1208,539,2240,447,1498,2569,116,834,228,1176,34,41.9200374,-87.6631506,99,0.3 km,0.7 km,14 m
" UIC-Halsted, Chicago",9481,6636,104,8109,604,21280,13963,2573,5666,2007,495,478,4357,26,41.875571,-87.6472426,99,0.6 km,1 m,1 m
" WashingtonWells, Chicago",32159,19206,206,16145,1888,236440,9471,14118,14725,26055,5557,7557,22905,28,41.8755616,-87.6244212,99,88 m,44 m,10 m
" WesternMilwaukee, Chicago",833,481,127,1670,263,2235,1221,2239,1629,281,339,88,966,70,41.8755616,-87.6244212,99,88 m,44 m,10 m
" Western-Ravenswood, Chicago",457,184,130,372,282,1032,798,1825,1127,141,198,24,914,14,41.9662349,-87.6884482,99,0.5 km,8 m,1 m
" Wilson, Chicago",176,252,75,429,276,1347,2570,3133,847,49,174,28,1292,163,42.36277825,-83.33182735,99,1.1 km,1.0 km,1 m
"DC Pentagon City, DC",629,68,41,2068,370,4464,73,1224,1453,385,249,1810,1654,103,38.86304015,-77.0591301,99,0.4 km,30 m,30 m
"Philly 49th Street, Philly",170,228,43,104,112,574,568,464,302,56,269,24,986,287,39.94563073,-75.21800892,99,0.2 km,33 m,25 m
"Philly Bryn Mawr, Philly",607,123,201,328,109,2263,1358,3047,535,3,285,567,1058,52,35.968335,-81.771502,99,0.2 km,,1 m
"Philly Chestnut Hill East, Philly",158,26,6,91,116,580,322,2128,318,0,95,77,534,17,40.0770553,-75.2074,99,0.3 km,74 m,3 m
"Philly Doylestown, Philly",312,183,222,363,223,2237,701,856,575,6735,128,68,686,53,39.9527237,-75.1635262,99,0.2 km,72 m,2 m
"Philly Elm Street, Philly",972,382,94,170,69,1112,2369,1042,348,2398,214,7,517,24,42.1520019,-79.3731034,99,6.3 km,,0.4 km
"Philly Fox Chase, Philly",187,81,160,60,67,244,106,349,167,66,18,1,370,252,43.65270825,-79.38384234,99,0.6 km,0.2 km,18 m
"Philly Lansdale, Philly",1008,242,166,248,45,1900,111,858,346,263,45,0,657,86,39.9527237,-75.1635262,99,0.2 km,72 m,2 m
"Philly Lansdowne, Philly",394,140,61,100,121,396,251,369,185,83,37,10,199,328,39.9527237,-75.1635262,99,0.2 km,72 m,2 m
"Philly Penn Medicine, Philly",949,93,20,184,365,4406,4086,26323,1096,460,1359,524,1615,125,39.9527237,-75.1635262,99,0.2 km,72 m,2 m
"Philly Rosemont, Philly",401,86,87,239,100,1473,895,1840,479,3,167,41,479,20,39.9527237,-75.1635262,99,0.2 km,72 m,2 m
